architecture,seed,forgotten_domain,model,evaluation_domain,evaluation_scope,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,roc_auc,average_precision,log_loss,true_negative,false_positive,false_negative,true_positive,samples,attack_rate
mlp,42,NF-UNSW-NB15,ssd_canonical,NF-UNSW-NB15,forgotten,0.9990468020207797,0.9971966049372389,0.9925373134328358,0.9950124688279302,0.9937733499377335,0.9998552874702499,0.9952278122517322,0.003872904088667369,19366.0,12.0,8.0,1596.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,ssd_canonical,NF-ToN-IoT,retained,0.6033692413476965,0.6486211705675249,0.862291169451074,0.5561028166846237,0.6761485917469823,0.7366612177632731,0.8452845123593878,0.887214090110789,1652.0,577.0,2884.0,3613.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,ssd_canonical,NF-BoT-IoT,retained,0.9871341267288517,0.8132639000733701,0.9994702958194116,0.9876389112578515,0.9935193811008951,0.9901017340419822,0.999985555523559,0.022686785893110715,23.0,13.0,307.0,24529.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,ssd_canonical,NF-CSE-CIC-IDS2018,retained,0.9080773995130494,0.748347318744981,0.7489233419465977,0.5256952841596131,0.6177619893428064,0.7606376886964419,0.636095060824365,0.393884022142935,19520.0,583.0,1569.0,1739.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,ssd_canonical,RETAINED_MACRO,retained_macro,0.8328602558631992,0.736744129795292,0.8702282690723612,0.6898123373673628,0.7624766540635614,0.8291335468338991,0.8271217095691039,0.43459496604894493,21195.0,1173.0,4760.0,29881.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,NF-UNSW-NB15,forgotten,0.9975216852540273,0.9875074608349598,0.9917617237008872,0.9756857855361596,0.9836580766813325,0.999764818009677,0.9953305006852491,0.00908113692607621,19365.0,13.0,39.0,1565.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,NF-ToN-IoT,retained,0.6033692413476965,0.6484738133271021,0.862118320610687,0.5562567338771741,0.676209187014688,0.7269246606070663,0.8424889061994393,0.9182691707267542,1651.0,578.0,2883.0,3614.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,NF-BoT-IoT,retained,0.9870939208748793,0.8132437680070148,0.9994702742349537,0.9875986471251409,0.9934989975089616,0.9904473345144146,0.9999860584299077,0.022801026559155824,23.0,13.0,308.0,24528.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,NF-CSE-CIC-IDS2018,retained,0.9090171287001837,0.749525884861043,0.754978354978355,0.5272067714631197,0.6208615165539337,0.7182869091771091,0.6281441025222749,0.41203676285937185,19537.0,566.0,1564.0,1744.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,RETAINED_MACRO,retained_macro,0.8331600969742533,0.7370811553983866,0.8721889832746652,0.6903540508218114,0.7635232336925277,0.8118863014328633,0.8235396890505408,0.4510356533817606,21211.0,1157.0,4755.0,29886.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,NF-UNSW-NB15,forgotten,0.9982842436374035,0.9919231555233086,0.9930817610062893,0.9844139650872819,0.9887288666249218,0.9998419358251085,0.9955970943825785,0.005963835375165283,19367.0,11.0,25.0,1579.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,NF-ToN-IoT,retained,0.6040568416227367,0.6492302793855991,0.8626609442060086,0.5568724026473757,0.6768309793284071,0.7429179619982663,0.8471537528972954,0.8565069048859024,1653.0,576.0,2879.0,3618.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,NF-BoT-IoT,retained,0.9870939208748793,0.8132437680070148,0.9994702742349537,0.9875986471251409,0.9934989975089616,0.9903668062489934,0.9999859415023349,0.022703124987850168,23.0,13.0,308.0,24528.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,NF-CSE-CIC-IDS2018,retained,0.9080773995130494,0.748347318744981,0.7489233419465977,0.5256952841596131,0.6177619893428064,0.7445844198628575,0.6320754593423528,0.4013967048389953,19520.0,583.0,1569.0,1739.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,RETAINED_MACRO,retained_macro,0.8330760540035551,0.7369404553791984,0.8703515201291867,0.6900554446440431,0.7626973220600584,0.8259563960367058,0.8264050512473277,0.42686891157091594,21196.0,1172.0,4756.0,29885.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,NF-UNSW-NB15,forgotten,0.9989991421218187,0.9968848842389846,0.9925326695706285,0.9943890274314214,0.9934599813142323,0.9998558987503889,0.9951473630063787,0.0040083081918303055,19366.0,12.0,9.0,1595.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,NF-ToN-IoT,retained,0.6030254412101765,0.6483902947786992,0.8621925005970862,0.5556410651069724,0.6757768625982778,0.7333287966085461,0.8442298814943632,0.9011782236024534,1652.0,577.0,2887.0,3610.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,NF-BoT-IoT,retained,0.9871341267288517,0.8132639000733701,0.9994702958194116,0.9876389112578515,0.9935193811008951,0.9901073262826363,0.9999855636418632,0.022693392115063278,23.0,13.0,307.0,24529.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,NF-CSE-CIC-IDS2018,retained,0.9080773995130494,0.748347318744981,0.7489233419465977,0.5256952841596131,0.6177619893428064,0.7538743112029878,0.6342068911722533,0.396995113149388,19520.0,583.0,1569.0,1739.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,RETAINED_MACRO,retained_macro,0.8327456558173592,0.7366671711990168,0.8701953794543652,0.6896584201748124,0.7623527443473265,0.8257701446980569,0.8261407787694931,0.44028890962230155,21195.0,1173.0,4763.0,29878.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,NF-UNSW-NB15,forgotten,0.9990468020207797,0.9971966049372389,0.9925373134328358,0.9950124688279302,0.9937733499377335,0.9998552874702499,0.9952278122517322,0.003872904088667369,19366.0,12.0,8.0,1596.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,NF-ToN-IoT,retained,0.6033692413476965,0.6486211705675249,0.862291169451074,0.5561028166846237,0.6761485917469823,0.7366612177632731,0.8452845123593878,0.887214090110789,1652.0,577.0,2884.0,3613.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,NF-BoT-IoT,retained,0.9871341267288517,0.8132639000733701,0.9994702958194116,0.9876389112578515,0.9935193811008951,0.9901017340419822,0.999985555523559,0.022686785893110715,23.0,13.0,307.0,24529.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,NF-CSE-CIC-IDS2018,retained,0.9080773995130494,0.748347318744981,0.7489233419465977,0.5256952841596131,0.6177619893428064,0.7606376886964419,0.636095060824365,0.393884022142935,19520.0,583.0,1569.0,1739.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,RETAINED_MACRO,retained_macro,0.8328602558631992,0.736744129795292,0.8702282690723612,0.6898123373673628,0.7624766540635614,0.8291335468338991,0.8271217095691039,0.43459496604894493,21195.0,1173.0,4760.0,29881.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,NF-UNSW-NB15,forgotten,0.9980459441425984,0.9920800614831999,0.989355040701315,0.9850374064837906,0.9871915026554202,0.9995766724174187,0.9952975968118569,0.00721921955388605,19361.0,17.0,24.0,1580.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,NF-ToN-IoT,retained,0.6025670410268165,0.6452826728255641,0.8588012319355602,0.5579498229952286,0.6764321701810039,0.6516683719089591,0.8182005051827069,1.1508093178546535,1633.0,596.0,2872.0,3625.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,NF-BoT-IoT,retained,0.987174332582824,0.8132840321397254,0.9994703174021106,0.987679175390562,0.993539763867231,0.9902471322989925,0.9999857657359198,0.02259531623247546,23.0,13.0,306.0,24530.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,NF-CSE-CIC-IDS2018,retained,0.9082055444022041,0.749684702680831,0.7477554510474562,0.5287182587666264,0.6194439525411723,0.8450153941181152,0.6695110471119013,0.3269022118090929,19513.0,590.0,1559.0,1749.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,RETAINED_MACRO,retained_macro,0.832648972670615,0.7360838025487069,0.8686756667950423,0.6914490857174723,0.7631386288631358,0.828976966108689,0.8292324393435093,0.5001022819654073,21169.0,1199.0,4737.0,29904.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,NF-UNSW-NB15,forgotten,0.996854446668573,0.9831433710593986,0.9916879795396419,0.9669576059850374,0.9791666666666666,0.9997276264391143,0.9945196951435996,0.010860234378916683,19365.0,13.0,53.0,1551.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,NF-ToN-IoT,retained,0.6026816410726564,0.6472752755473365,0.8610581506196378,0.5561028166846237,0.6757691948003367,0.7448198647503597,0.8475442430432485,0.8361095663664767,1646.0,583.0,2884.0,3613.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,NF-BoT-IoT,retained,0.987053715020907,0.8132236359406596,0.9994702526487368,0.9875583829924304,0.9934786130913804,0.9908242515345109,0.9999866045668001,0.022924314454231563,23.0,13.0,309.0,24527.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,NF-CSE-CIC-IDS2018,retained,0.908504549143565,0.748848591483004,0.751727115716753,0.5262998790810157,0.6191322901849218,0.7722009086698063,0.6393512901460678,0.3890531758595063,19528.0,575.0,1567.0,1741.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,RETAINED_MACRO,retained_macro,0.8327466350790429,0.7364491676570001,0.8707518396617092,0.68998702625269,0.7627933660255463,0.8359483416515591,0.8289607125853721,0.4160290188934049,21197.0,1171.0,4760.0,29881.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,dc_ssd,NF-UNSW-NB15,forgotten,0.9966638070727291,0.9836119977175444,0.9879134860050891,0.9682044887780549,0.9779596977329975,0.9992205534774892,0.9945218953767441,0.012908618862446002,19359.0,19.0,51.0,1553.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,dc_ssd,NF-ToN-IoT,retained,0.6032546413018566,0.6455970671627924,0.858831875147789,0.5590272433430814,0.6772328920380384,0.633305270548653,0.815933582332181,1.2525433197398395,1632.0,597.0,2865.0,3632.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,dc_ssd,NF-BoT-IoT,retained,0.9874959794146028,0.7995763318480342,0.9994298049118234,0.9880415525849573,0.9937030512867238,0.9905435210536676,0.9999861971894697,0.02218273426503883,22.0,14.0,297.0,24539.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,dc_ssd,NF-CSE-CIC-IDS2018,retained,0.9088035538849258,0.7516745080850549,0.7494683113568694,0.5326481257557436,0.6227248630500088,0.8618657219431174,0.6836636365704185,0.2995377196779697,19514.0,589.0,1546.0,1762.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,dc_ssd,RETAINED_MACRO,retained_macro,0.8331847248671284,0.7322826356986272,0.8692433304721606,0.693238973894594,0.7645536021249236,0.8285715045151459,0.8331944720306899,0.524754591227616,21168.0,1200.0,4708.0,29933.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,scrub_r,NF-UNSW-NB15,forgotten,0.1792012200934134,0.5296115359758309,0.08115211328041193,0.9432668329177057,0.149446858949032,0.3607201742264218,0.05712200347192722,21.583047320323974,2247.0,17131.0,91.0,1513.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,scrub_r,NF-ToN-IoT,retained,0.5664680265872106,0.6157358543436515,0.8411261940673705,0.5150069262736647,0.638854415274463,0.5898791470377363,0.7988597880183068,1.369043955688275,1597.0,632.0,3151.0,3346.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,scrub_r,NF-BoT-IoT,retained,0.9886619491798005,0.786291404949804,0.9993898470549951,0.9892494765662747,0.994293808174828,0.9848349617938117,0.9999775141040383,0.020476859366221668,21.0,15.0,267.0,24569.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,scrub_r,NF-CSE-CIC-IDS2018,retained,0.9251633847336722,0.7625894945143755,0.8909547738693467,0.5359733978234583,0.6693091732729332,0.8043925356361534,0.6665005126494129,0.3489495950863489,19886.0,217.0,1535.0,1773.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,scrub_r,RETAINED_MACRO,retained_macro,0.8267644535002278,0.7215389179359436,0.9104902716639041,0.6800766002211326,0.767485798907408,0.7930355481559005,0.821779271590586,0.5794901367136152,21504.0,864.0,4953.0,29688.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.0001,NF-UNSW-NB15,forgotten,0.08664569631112382,0.5046639709427021,0.07711203159618533,0.9981296758104738,0.1431637306626129,0.06599830797657523,0.04034922917975866,16.69130576830133,217.0,19161.0,3.0,1601.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.0001,NF-ToN-IoT,retained,0.5397662159064863,0.5783533456757106,0.8094287852332253,0.4994612898260736,0.6177422425280792,0.5841826917665627,0.7636064551233939,0.9650527870607332,1465.0,764.0,3252.0,3245.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.0001,NF-BoT-IoT,retained,0.9887825667417176,0.647664232923534,0.9989840289348559,0.9897729102915124,0.9943571385231479,0.9667216943147044,0.9999501037326995,0.02437882090693431,11.0,25.0,254.0,24582.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.0001,NF-CSE-CIC-IDS2018,retained,0.8762547520396395,0.8464975283577364,0.5418107833163784,0.8050181378476421,0.6476954882646236,0.9167394628665997,0.7630488629898833,0.29142145714573214,17851.0,2252.0,645.0,2663.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.0001,RETAINED_MACRO,retained_macro,0.8016011782292812,0.6908383689856604,0.7834078658281531,0.7647507793217426,0.7532649564386169,0.8225479496492888,0.8422018072819922,0.4269510217044665,19327.0,3041.0,4151.0,30490.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.001,NF-UNSW-NB15,forgotten,0.20913163664093032,0.5283744658376764,0.08114451771543534,0.9052369077306733,0.148938352651554,0.47160698663600054,0.07111103327057146,21.435086780072396,2936.0,16442.0,152.0,1452.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.001,NF-ToN-IoT,retained,0.5873252349300939,0.6166275244681035,0.8337943752881513,0.5567184854548253,0.667651130595293,0.6042460981922636,0.8076167676126388,1.2332359612702422,1508.0,721.0,2880.0,3617.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.001,NF-BoT-IoT,retained,0.9900289482148601,0.786975895205884,0.9993906897392152,0.9906184570784345,0.994985238807781,0.9907795136092769,0.9999865023040826,0.017323776263236102,21.0,15.0,233.0,24603.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.001,NF-CSE-CIC-IDS2018,retained,0.9262739737730127,0.7652565932966384,0.8962925851703407,0.5408101571946796,0.6745852187028658,0.8303090429511715,0.6810785679619952,0.3286372969363076,19896.0,207.0,1519.0,1789.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.001,RETAINED_MACRO,retained_macro,0.8345427189726555,0.7229533376568753,0.9098258833992358,0.6960490332426464,0.7790738627019799,0.8084448849175706,0.8295606126262388,0.5263990114899286,21425.0,943.0,4632.0,30009.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,retrained,NF-UNSW-NB15,forgotten,0.45386521780573824,0.34149940326189376,0.031828978622327794,0.20885286783042395,0.0552395086157144,0.26182185224831406,0.04780645580323832,1.1479204846701634,9188.0,10190.0,1269.0,335.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,retrained,NF-ToN-IoT,retained,0.5994728397891359,0.6589720154513803,0.8771356783919598,0.5373249191934739,0.6664121408800229,0.7138511248557071,0.8432747689729301,1.0740700793113362,1740.0,489.0,3006.0,3491.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,retrained,NF-BoT-IoT,retained,0.9892650369893856,0.8143308995902006,0.9994714372840008,0.9897729102915124,0.994598531286035,0.9923788944363916,0.9999888761961312,0.021133372967417425,23.0,13.0,254.0,24582.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,retrained,NF-CSE-CIC-IDS2018,retained,0.9104694374439366,0.755043772155022,0.7578723404255319,0.538391777509069,0.6295510781194769,0.7633009378965558,0.6482867393662106,0.3685896235740604,19534.0,569.0,1527.0,1781.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,retrained,RETAINED_MACRO,retained_macro,0.8330691047408193,0.7427822290655343,0.8781598187004974,0.6884965356646852,0.7635205834285116,0.8231769857295514,0.8305167948450906,0.4879310252842714,21297.0,1071.0,4787.0,29854.0,57009.0,0.6076408988054518
mlp,42,NF-ToN-IoT,original,NF-UNSW-NB15,retained,0.9990468020207797,0.9971966049372389,0.9925373134328358,0.9950124688279302,0.9937733499377335,0.9998552874702499,0.9952278122517322,0.003872904088667369,19366.0,12.0,8.0,1596.0,20982.0,0.07644647793346677
mlp,42,NF-ToN-IoT,original,NF-ToN-IoT,forgotten,0.6033692413476965,0.6486211705675249,0.862291169451074,0.5561028166846237,0.6761485917469823,0.7366612177632731,0.8452845123593878,0.887214090110789,1652.0,577.0,2884.0,3613.0,8726.0,0.7445564978225991
mlp,42,NF-ToN-IoT,original,NF-BoT-IoT,retained,0.9871341267288517,0.8132639000733701,0.9994702958194116,0.9876389112578515,0.9935193811008951,0.9901017340419822,0.999985555523559,0.022686785893110715,23.0,13.0,307.0,24529.0,24872.0,0.9985525892569959
mlp,42,NF-ToN-IoT,original,NF-CSE-CIC-IDS2018,retained,0.9080773995130494,0.748347318744981,0.7489233419465977,0.5256952841596131,0.6177619893428064,0.7606376886964419,0.636095060824365,0.393884022142935,19520.0,583.0,1569.0,1739.0,23411.0,0.14130109777455044
mlp,42,NF-ToN-IoT,original,RETAINED_MACRO,retained_macro,0.9647527760875603,0.8529359412518632,0.913643650399615,0.8361155547484649,0.8683515734604783,0.9168649034028912,0.8771028095332186,0.14014790404157104,38909.0,608.0,1884.0,27864.0,69265.0,0.4294809788493467
mlp,42,NF-ToN-IoT,rollback_repair,NF-UNSW-NB15,retained,0.9235535220665332,0.5,0.0,0.0,0.0,0.863064385300553,0.5227144903350678,0.4164489223863031,19378.0,0.0,1604.0,0.0,20982.0,0.07644647793346677
mlp,42,NF-ToN-IoT,rollback_repair,NF-ToN-IoT,forgotten,0.25544350217740086,0.5,0.0,0.0,0.0,0.5635532650504465,0.7366800185371005,4.061786355964547,2229.0,0.0,6497.0,0.0,8726.0,0.7445564978225991
mlp,42,NF-ToN-IoT,rollback_repair,NF-BoT-IoT,retained,0.0014474107430041815,0.5,0.0,0.0,0.0,0.9879140494980405,0.9999823623384941,5.3181746779512045,36.0,0.0,24836.0,0.0,24872.0,0.9985525892569959
mlp,42,NF-ToN-IoT,rollback_repair,NF-CSE-CIC-IDS2018,retained,0.8586989022254495,0.5,0.0,0.0,0.0,0.8011423905700636,0.30654253260392816,0.7694618192398188,20103.0,0.0,3308.0,0.0,23411.0,0.14130109777455044
mlp,42,NF-ToN-IoT,rollback_repair,RETAINED_MACRO,retained_macro,0.5945666116783289,0.5,0.0,0.0,0.0,0.8840402751228856,0.6097464617591634,2.168028473192442,39517.0,0.0,29748.0,0.0,69265.0,0.4294809788493467
mlp,42,NF-ToN-IoT,ssd_canonical,NF-UNSW-NB15,retained,0.9990468020207797,0.9971966049372389,0.9925373134328358,0.9950124688279302,0.9937733499377335,0.9998552874702499,0.9952278122517322,0.003872904088667369,19366.0,12.0,8.0,1596.0,20982.0,0.07644647793346677
mlp,42,NF-ToN-IoT,ssd_canonical,NF-ToN-IoT,forgotten,0.6033692413476965,0.6486211705675249,0.862291169451074,0.5561028166846237,0.6761485917469823,0.7366612177632731,0.8452845123593878,0.887214090110789,1652.0,577.0,2884.0,3613.0,8726.0,0.7445564978225991
mlp,42,NF-ToN-IoT,ssd_canonical,NF-BoT-IoT,retained,0.9871341267288517,0.8132639000733701,0.9994702958194116,0.9876389112578515,0.9935193811008951,0.9901017340419822,0.999985555523559,0.022686785893110715,23.0,13.0,307.0,24529.0,24872.0,0.9985525892569959
mlp,42,NF-ToN-IoT,ssd_canonical,NF-CSE-CIC-IDS2018,retained,0.9080773995130494,0.748347318744981,0.7489233419465977,0.5256952841596131,0.6177619893428064,0.7606376886964419,0.636095060824365,0.393884022142935,19520.0,583.0,1569.0,1739.0,23411.0,0.14130109777455044
mlp,42,NF-ToN-IoT,ssd_canonical,RETAINED_MACRO,retained_macro,0.9647527760875603,0.8529359412518632,0.913643650399615,0.8361155547484649,0.8683515734604783,0.9168649034028912,0.8771028095332186,0.14014790404157104,38909.0,608.0,1884.0,27864.0,69265.0,0.4294809788493467
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=1,NF-UNSW-NB15,retained,0.24401868268039273,0.28050014426211284,0.03393043933054393,0.32356608478802995,0.06142011834319527,0.2347299647465092,0.04638078527007125,0.8323507483190241,4601.0,14777.0,1085.0,519.0,20982.0,0.07644647793346677
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=1,NF-ToN-IoT,forgotten,0.6343112537245015,0.5901217962143276,0.7985910404624278,0.6804679082653532,0.7348125986869443,0.6546665117136923,0.8231017195973597,0.7067818008103157,1114.0,1115.0,2076.0,4421.0,8726.0,0.7445564978225991
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=1,NF-BoT-IoT,retained,0.7081859118687681,0.5903750827651617,0.9989214350590372,0.7085279433081011,0.8290304343729389,0.646846647339883,0.9978516313834696,0.5948402651680263,17.0,19.0,7239.0,17597.0,24872.0,0.9985525892569959
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=1,NF-CSE-CIC-IDS2018,retained,0.7284182649182008,0.5742838153160558,0.21904937361827562,0.3594316807738815,0.2722069597069597,0.49445570697846836,0.1418722441000751,0.6124649662696099,15864.0,4239.0,2119.0,1189.0,23411.0,0.14130109777455044
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=1,RETAINED_MACRO,retained_macro,0.5602076198224539,0.48171968078111016,0.41730041600261897,0.4638419029566709,0.38755250414103126,0.45867743968828684,0.39536822025120527,0.6798853265855535,20482.0,19035.0,10443.0,19305.0,69265.0,0.4294809788493467
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=2,NF-UNSW-NB15,retained,0.9212181870174435,0.5221809754692637,0.38497652582159625,0.05112219451371571,0.09025866813428729,0.28934707302339674,0.08844848145212075,0.3506828569920197,19247.0,131.0,1522.0,82.0,20982.0,0.07644647793346677
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=2,NF-ToN-IoT,forgotten,0.28019711207884485,0.4105258436909799,0.5652173913043478,0.14406649222718176,0.22960873298172452,0.5009257473494513,0.7053962163350402,1.424996391687429,1509.0,720.0,5561.0,936.0,8726.0,0.7445564978225991
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=2,NF-BoT-IoT,retained,0.5731746542296559,0.6059841448792971,0.9990874631475501,0.5730794008697052,0.7283659996929532,0.7253281526815912,0.9988165326619001,0.9403618184575927,23.0,13.0,10603.0,14233.0,24872.0,0.9985525892569959
