architecture,seed,forgotten_domain,method,base_method,protocol,rollback_scale,repair_epochs,repair_fraction,parameter_change_l2,parameter_change_max_abs,is_identity_map,is_near_identity,alpha,lambda,selected_parameter_count,selected_parameter_fraction,effectively_changed_parameter_count,selection_status,total_parameter_count,reference_forget_fisher_cosine_similarity,finite_ratio_max,finite_ratio_median,dampening_factor_min,dampening_factor_median,dampening_factor_max,alpha_is_configured_default,alpha_matches_published_cifar_resnet_setting,fisher_scope,forget_training_fraction,batch_normalized_ratio_upper_bound,full_fisher_batches,structural_noop,forget_fisher_batches,forget_fisher_samples,ablation_class_balanced,ablation_contrastive,no_contrast_ratio_upper_bound,class_weighting,fisher_estimator,domain_weighting,reference_domain_scope,retained_reference,online_raw_retain_rows,online_raw_forget_rows,cache_policy_note,teacher_frozen,forget_max_steps,total_min_steps,chosen_rewind_step,final_same_domain_validation_error,chosen_forget_train_error,temperature,alpha_retain_kl,gamma_retain_ce,optimizer,learning_rate,learning_rate_is_configured_default,learning_rate_matches_published_cifar_setting,schedule_scope,weight_decay,momentum,forget_batch_size,retain_batch_size,gradient_clipping,gradient_clip_norm,largest_preclip_grad_norm,gradient_clipping_scope,rewind_reference_uses
mlp,2026,NF-BoT-IoT,ssd_canonical@alpha=2,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.22227742778903256,0.10934427380561829,False,False,2.0,1.0,17.0,0.001000353065787925,17.0,weights_changed,16994.0,0.772384164857312,3.0616378784179688,0.19807201623916626,0.3266225755214691,0.4510250985622406,0.4992678761482239,False,False,100% pooled train cache plus 100% forgotten train online,0.29503877247007426,3.3901660280970627,5309.0,False,1566.0,100217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-BoT-IoT,ssd_canonical@alpha=3,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.01796005656799922,0.01796005666255951,False,False,3.0,1.0,1.0,5.884429798752501e-05,1.0,weights_changed,16994.0,0.772384164857312,3.0616378784179688,0.19807201623916626,0.3266225755214691,0.3266225755214691,0.3266225755214691,False,False,100% pooled train cache plus 100% forgotten train online,0.29503877247007426,3.3901660280970627,5309.0,False,1566.0,100217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-BoT-IoT,ssd_canonical@alpha=5,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,5.0,1.0,0.0,0.0,0.0,no_parameters_selected,16994.0,0.772384164857312,3.0616378784179688,0.19807201623916626,1.0,1.0,1.0,False,False,100% pooled train cache plus 100% forgotten train online,0.29503877247007426,3.3901660280970627,5309.0,True,1566.0,100217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-BoT-IoT,dc_ssd_no_contrast,dc_ssd_no_contrast,DC-SSD ablation: class-balanced Fisher without retained-only contrast,,,,6.020823982962899,0.7570246458053589,False,False,2.0,1.0,3330.0,0.19595151229845828,3330.0,weights_changed,16994.0,0.476043403547739,3.992884635925293,0.6668746471405029,0.25044551491737366,0.3680635690689087,0.4997895658016205,,,,,,,False,,,True,False,4.0,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,all domains including forgotten,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-BoT-IoT,dc_ssd_no_class_balance,dc_ssd_no_class_balance,DC-SSD ablation: retained-domain contrast without class balancing,,,,0.43346277612916684,0.12553060054779053,False,False,2.0,1.0,39.0,0.0022949276215134752,39.0,weights_changed,16994.0,0.5698076360039966,19.025222778320312,0.051416218280792236,0.05256180092692375,0.3695407211780548,0.4944884181022644,,,,,,,False,,,False,True,,empirical training fractions within domain,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-BoT-IoT,dc_ssd,dc_ssd,proposed class-balanced domain-contrastive SSD,,,,8.737114200490723,1.0093661546707153,False,False,2.0,1.0,4433.0,0.26085677297869836,4433.0,weights_changed,16994.0,0.30393095579350843,1683.446044921875,0.6002247333526611,0.0005940196570008993,0.20833522081375122,0.49996474385261536,,,,,,,False,,,True,True,,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-BoT-IoT,scrub_r,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,5.37112397235257,3.4279088973999023,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,3.0,0.9922558922558923,0.9957991159184569,4.0,0.001,0.99,sgd,0.0005,True,True,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,True,0.2,1334.2149658203125,NetFlow numerical-stability adaptation for large whole-domain deletion; SCRUB objective and max/min schedule are unchanged,"forgotten-domain validation split, never test"
mlp,2026,NF-BoT-IoT,scrub_r@lr=0.0001,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,0.4162241167803407,0.12210583686828613,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,1.0,0.9955218855218855,0.9968069289641478,4.0,0.001,0.99,sgd,0.0001,False,False,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,True,0.2,256.26580810546875,NetFlow numerical-stability adaptation for large whole-domain deletion; SCRUB objective and max/min schedule are unchanged,"forgotten-domain validation split, never test"
mlp,2026,NF-BoT-IoT,scrub_r@lr=0.001,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,11.065664709837534,7.384021759033203,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,3.0,0.931986531986532,0.9812207509703943,4.0,0.001,0.99,sgd,0.001,False,False,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,True,0.2,6545.1025390625,NetFlow numerical-stability adaptation for large whole-domain deletion; SCRUB objective and max/min schedule are unchanged,"forgotten-domain validation split, never test"
mlp,2026,NF-CSE-CIC-IDS2018,rollback_repair,rollback_repair,amnesiac update subtraction plus custom retained repair,1.0,2.0,0.25,54.732244591139455,5.435744285583496,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,2026,NF-CSE-CIC-IDS2018,ssd_canonical,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,10.0,1.0,0.0,0.0,0.0,no_parameters_selected,16994.0,0.9024798404006447,3.0369036197662354,1.035905122756958,1.0,1.0,1.0,True,True,100% pooled train cache plus 100% forgotten train online,0.3128146399194522,3.19626730885009,5309.0,True,1661.0,106255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
