architecture,seed,forgotten_domain,method,device,parameter_count,checkpoint_bytes,original_training_optimizer_steps,original_training_samples_seen,online_optimizer_steps,online_gradient_sample_exposures,online_unique_forget_samples,online_unique_retain_samples,online_selection_inference_samples,online_temporary_storage_bytes,online_seconds,online_optimization_seconds,full_retraining_optimizer_steps,full_retraining_samples_seen,full_retraining_optimization_seconds,full_retraining_validation_seconds,offline_preparation_seconds,offline_preparation_samples,offline_preparation_batches,offline_preparation_storage_bytes,offline_preparation_kind,offline_preparation_wall_seconds,offline_preparation_rss_start_bytes,offline_preparation_rss_peak_bytes,offline_preparation_rss_peak_increment_bytes,offline_preparation_accelerator_start_bytes,offline_preparation_accelerator_peak_bytes,offline_preparation_accelerator_peak_increment_bytes,offline_preparation_accelerator_memory_status,original_training_wall_seconds,original_training_rss_start_bytes,original_training_rss_peak_bytes,original_training_rss_peak_increment_bytes,original_training_accelerator_start_bytes,original_training_accelerator_peak_bytes,original_training_accelerator_peak_increment_bytes,original_training_accelerator_memory_status,online_unlearning_wall_seconds,online_unlearning_rss_start_bytes,online_unlearning_rss_peak_bytes,online_unlearning_rss_peak_increment_bytes,online_unlearning_accelerator_start_bytes,online_unlearning_accelerator_peak_bytes,online_unlearning_accelerator_peak_increment_bytes,online_unlearning_accelerator_memory_status,full_retraining_wall_seconds,full_retraining_rss_start_bytes,full_retraining_rss_peak_bytes,full_retraining_rss_peak_increment_bytes,full_retraining_accelerator_start_bytes,full_retraining_accelerator_peak_bytes,full_retraining_accelerator_peak_increment_bytes,full_retraining_accelerator_memory_status,online_speedup_vs_retraining_optimization,monitor_scope_speedup_vs_retraining,gradient_exposure_reduction_fraction
mlp,42,NF-UNSW-NB15,rollback_repair,cuda,16994,67976,26580,6793480,476,121656,0,106495,0,271904,1.703467575999639,1.7017776919992684,19040,4866240,67.66015835000053,0.16267100000004575,,0,0,271904,domain update trace; incremental tracing time not separately measured,,,,,,,,not_measured,111.38146764900011,1927950336,1973936128,45985792,0,19344896,19344896,measured,1.7382867919995988,2037493760,2044600320,7106560,18087936,18989568,901632,measured,67.82804466200014,2329292800,2329305088,12288,18087936,18991616,903680,measured,39.71907613815061,39.020054098193825,0.975
mlp,42,NF-UNSW-NB15,ssd_canonical,cuda,16994,67976,26580,6793480,0,96362,96362,0,0,67976,3.0885861219994695,0.0,19040,4866240,67.66015835000053,0.16267100000004575,10.470179566999832,339674,5309,67976,full-training Fisher cache,10.472967857000185,1972998144.0,2036629504.0,63631360.0,18087936.0,18436608.0,348672.0,measured,111.38146764900011,1927950336,1973936128,45985792,0,19344896,19344896,measured,3.0908869400000185,2044596224,2063585280,18989056,18087936,18454528,366592,measured,67.82804466200014,2329292800,2329305088,12288,18087936,18991616,903680,measured,21.90651504520752,21.944524655437487,0.9801978529624515
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,cuda,16994,67976,26580,6793480,0,96362,96362,0,0,67976,3.206770134999715,0.0,19040,4866240,67.66015835000053,0.16267100000004575,10.470179566999832,339674,5309,67976,full-training Fisher cache,10.472967857000185,1972998144.0,2036629504.0,63631360.0,18087936.0,18436608.0,348672.0,measured,111.38146764900011,1927950336,1973936128,45985792,0,19344896,19344896,measured,3.209068577000835,2063585280,2248806400,185221120,18087936,18454528,366592,measured,67.82804466200014,2329292800,2329305088,12288,18087936,18991616,903680,measured,21.09916068243742,21.136364971480784,0.9801978529624515
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,cuda,16994,67976,26580,6793480,0,96362,96362,0,0,67976,3.0522360140003,0.0,19040,4866240,67.66015835000053,0.16267100000004575,10.470179566999832,339674,5309,67976,full-training Fisher cache,10.472967857000185,1972998144.0,2036629504.0,63631360.0,18087936.0,18436608.0,348672.0,measured,111.38146764900011,1927950336,1973936128,45985792,0,19344896,19344896,measured,3.054893432999961,2248806400,2249445376,638976,18087936,18454528,366592,measured,67.82804466200014,2329292800,2329305088,12288,18087936,18991616,903680,measured,22.167407120435698,22.203080450957586,0.9801978529624515
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,cuda,16994,67976,26580,6793480,0,96362,96362,0,0,67976,3.019889874999535,0.0,19040,4866240,67.66015835000053,0.16267100000004575,10.470179566999832,339674,5309,67976,full-training Fisher cache,10.472967857000185,1972998144.0,2036629504.0,63631360.0,18087936.0,18436608.0,348672.0,measured,111.38146764900011,1927950336,1973936128,45985792,0,19344896,19344896,measured,3.022399237999707,2249441280,2249445376,4096,18087936,18454528,366592,measured,67.82804466200014,2329292800,2329305088,12288,18087936,18991616,903680,measured,22.404842941503272,22.441788566255163,0.9801978529624515
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,cuda,16994,67976,26580,6793480,0,96362,96362,0,0,67976,2.9601282519997767,0.0,19040,4866240,67.66015835000053,0.16267100000004575,10.470179566999832,339674,5309,67976,full-training Fisher cache,10.472967857000185,1972998144.0,2036629504.0,63631360.0,18087936.0,18436608.0,348672.0,measured,111.38146764900011,1927950336,1973936128,45985792,0,19344896,19344896,measured,2.9626230309995663,2249441280,2249445376,4096,18087936,18454528,366592,measured,67.82804466200014,2329292800,2329305088,12288,18087936,18991616,903680,measured,22.857171240567464,22.894591702109153,0.9801978529624515
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.023100032000002102,0.0,19040,4866240,67.66015835000053,0.16267100000004575,10.572277534000023,339674,5310,271904,class-balanced per-domain Fisher bank,10.572403512000164,2036629504.0,2037440512.0,811008.0,18087936.0,18436608.0,348672.0,measured,111.38146764900011,1927950336,1973936128,45985792,0,19344896,19344896,measured,0.025601318000553874,2249441280,2249445376,4096,18087936,18454528,366592,measured,67.82804466200014,2329292800,2329305088,12288,18087936,18991616,903680,measured,2929.0071264833905,2649.3965920243913,1.0
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.017818659999647934,0.0,19040,4866240,67.66015835000053,0.16267100000004575,10.63357546899988,339674,5310,271904,empirical-weighted class-conditional per-domain Fisher bank,10.633692892999534,2037436416.0,2037497856.0,61440.0,18087936.0,18436608.0,348672.0,measured,111.38146764900011,1927950336,1973936128,45985792,0,19344896,19344896,measured,0.02058747699993546,2249441280,2249445376,4096,18087936,18454528,366592,measured,67.82804466200014,2329292800,2329305088,12288,18087936,18991616,903680,measured,3797.1518818663903,3294.6263722462336,1.0
mlp,42,NF-UNSW-NB15,dc_ssd,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.018980324000040127,0.0,19040,4866240,67.66015835000053,0.16267100000004575,10.572277534000023,339674,5310,271904,class-balanced per-domain Fisher bank,10.572403512000164,2036629504.0,2037440512.0,811008.0,18087936.0,18436608.0,348672.0,measured,111.38146764900011,1927950336,1973936128,45985792,0,19344896,19344896,measured,0.02160955900035333,2249441280,2249445376,4096,18087936,18454528,366592,measured,67.82804466200014,2329292800,2329305088,12288,18087936,18991616,903680,measured,3564.7525484737503,3138.7981893055344,1.0
mlp,42,NF-UNSW-NB15,scrub_r,cuda,16994,67976,26580,6793480,11730,922660,96362,243312,310061,271904,56.10056493600041,55.74156017699897,19040,4866240,67.66015835000053,0.16267100000004575,0.0,0,0,0,none,,,,,,,,not_measured,111.38146764900011,1927950336,1973936128,45985792,0,19344896,19344896,measured,56.10623570900043,2249441280,2329010176,79568896,18087936,19028480,940544,measured,67.82804466200014,2329292800,2329305088,12288,18087936,18991616,903680,measured,1.206051283568843,1.2089216787559198,0.810395705924903
