architecture,seed,forgotten_domain,method,base_method,protocol,rollback_scale,repair_epochs,repair_fraction,parameter_change_l2,parameter_change_max_abs,is_identity_map,is_near_identity,alpha,lambda,selected_parameter_count,selected_parameter_fraction,effectively_changed_parameter_count,selection_status,total_parameter_count,reference_forget_fisher_cosine_similarity,finite_ratio_max,finite_ratio_median,dampening_factor_min,dampening_factor_median,dampening_factor_max,alpha_is_configured_default,alpha_matches_published_cifar_resnet_setting,fisher_scope,forget_training_fraction,batch_normalized_ratio_upper_bound,full_fisher_batches,structural_noop,forget_fisher_batches,forget_fisher_samples,ablation_class_balanced,ablation_contrastive,no_contrast_ratio_upper_bound,class_weighting,fisher_estimator,domain_weighting,reference_domain_scope,retained_reference,online_raw_retain_rows,online_raw_forget_rows,cache_policy_note,teacher_frozen,forget_max_steps,total_min_steps,chosen_rewind_step,final_same_domain_validation_error,chosen_forget_train_error,temperature,alpha_retain_kl,gamma_retain_ce,optimizer,learning_rate,learning_rate_is_configured_default,learning_rate_matches_published_cifar_setting,schedule_scope,weight_decay,momentum,forget_batch_size,retain_batch_size,gradient_clipping,rewind_reference_uses
numerical_feature_transformer,42,NF-ToN-IoT,ssd_canonical@alpha=3,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,12.521802377717943,1.0728503465652466,False,False,3.0,1.0,7181.0,0.8188141391106043,7181.0,weights_changed,8770.0,0.9203418413521893,9.19117259979248,4.902915954589844,0.10880003869533539,0.1848648339509964,0.3332779109477997,False,False,100% pooled train cache plus 100% forgotten train online,0.10845693223502535,9.21701388888889,5309.0,False,576.0,36840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-ToN-IoT,ssd_canonical@alpha=5,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,10.282958825619382,1.0728503465652466,False,False,5.0,1.0,4201.0,0.4790193842645382,4201.0,weights_changed,8770.0,0.9203418413521893,9.19117259979248,4.902915954589844,0.10880003869533539,0.15475128591060638,0.1999945342540741,False,False,100% pooled train cache plus 100% forgotten train online,0.10845693223502535,9.21701388888889,5309.0,False,576.0,36840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-ToN-IoT,dc_ssd_no_contrast,dc_ssd_no_contrast,DC-SSD ablation: class-balanced Fisher without retained-only contrast,,,,7.397252596727565,0.9023700952529907,False,False,2.0,1.0,3961.0,0.4516533637400228,3961.0,weights_changed,8770.0,0.5681650196995729,3.965301275253296,1.800168752670288,0.2521876394748688,0.34764301776885986,0.4999985694885254,,,,,,,False,,,True,False,4.0,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,all domains including forgotten,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-ToN-IoT,dc_ssd_no_class_balance,dc_ssd_no_class_balance,DC-SSD ablation: retained-domain contrast without class balancing,,,,15.185410305353747,1.239705204963684,False,False,2.0,1.0,8318.0,0.948460661345496,8318.0,weights_changed,8770.0,0.6633600205907003,2095.5068359375,24.481645584106445,0.00047721152077428997,0.03665538877248764,0.49983128905296326,,,,,,,False,,,False,True,,empirical training fractions within domain,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-ToN-IoT,dc_ssd,dc_ssd,proposed class-balanced domain-contrastive SSD,,,,10.374646234288015,1.2031601667404175,False,False,2.0,1.0,4830.0,0.5507411630558723,4830.0,weights_changed,8770.0,0.33324108695357924,342.834228515625,2.4549639225006104,0.0029168615583330393,0.1593773066997528,0.49979180097579956,,,,,,,False,,,True,True,,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-ToN-IoT,scrub_r,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,16.15134175846776,8.820666313171387,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,1.0,0.13945847966466524,0.2763029315960912,4.0,0.001,0.99,sgd,0.0005,True,True,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,False,"forgotten-domain validation split, never test"
numerical_feature_transformer,42,NF-ToN-IoT,scrub_r@lr=0.001,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,88.2169120822191,60.33919143676758,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,2.0,0.13526679506060948,0.2553745928338762,4.0,0.001,0.99,sgd,0.001,False,False,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,False,"forgotten-domain validation split, never test"
numerical_feature_transformer,42,NF-BoT-IoT,rollback_repair,rollback_repair,amnesiac update subtraction plus custom retained repair,1.0,2.0,0.25,34.720079807270665,6.0543532371521,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,10.0,1.0,0.0,0.0,0.0,no_parameters_selected,8770.0,0.6922573876445733,1.7746739387512207,0.1635432094335556,1.0,1.0,1.0,True,True,100% pooled train cache plus 100% forgotten train online,0.29503877247007426,3.3901660280970627,5309.0,True,1566.0,100217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=1,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.038560929166255205,0.026545241475105286,False,False,1.0,1.0,17.0,0.0019384264538198405,17.0,weights_changed,8770.0,0.6922573876445733,1.7746739387512207,0.1635432094335556,0.5634837746620178,0.8052387237548828,0.9917729496955872,False,False,100% pooled train cache plus 100% forgotten train online,0.29503877247007426,3.3901660280970627,5309.0,False,1566.0,100217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=2,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,2.0,1.0,0.0,0.0,0.0,no_parameters_selected,8770.0,0.6922573876445733,1.7746739387512207,0.1635432094335556,1.0,1.0,1.0,False,False,100% pooled train cache plus 100% forgotten train online,0.29503877247007426,3.3901660280970627,5309.0,False,1566.0,100217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=3,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,3.0,1.0,0.0,0.0,0.0,no_parameters_selected,8770.0,0.6922573876445733,1.7746739387512207,0.1635432094335556,1.0,1.0,1.0,False,False,100% pooled train cache plus 100% forgotten train online,0.29503877247007426,3.3901660280970627,5309.0,False,1566.0,100217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-BoT-IoT,ssd_canonical@alpha=5,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,5.0,1.0,0.0,0.0,0.0,no_parameters_selected,8770.0,0.6922573876445733,1.7746739387512207,0.1635432094335556,1.0,1.0,1.0,False,False,100% pooled train cache plus 100% forgotten train online,0.29503877247007426,3.3901660280970627,5309.0,True,1566.0,100217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd_no_contrast,dc_ssd_no_contrast,DC-SSD ablation: class-balanced Fisher without retained-only contrast,,,,6.130469262446238,0.9315457940101624,False,False,2.0,1.0,3033.0,0.3458380843785633,3033.0,weights_changed,8770.0,0.9443206356481229,3.9905989170074463,1.2938976287841797,0.25058895349502563,0.33388546109199524,0.4995795488357544,,,,,,,False,,,True,False,4.0,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,all domains including forgotten,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd_no_class_balance,dc_ssd_no_class_balance,DC-SSD ablation: retained-domain contrast without class balancing,,,,0.24115755068565217,0.13589346408843994,False,False,2.0,1.0,15.0,0.0017103762827822121,15.0,weights_changed,8770.0,0.5037396414793391,5.015644073486328,0.031179841607809067,0.199376180768013,0.3445795476436615,0.46168121695518494,,,,,,,False,,,False,True,,empirical training fractions within domain,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-BoT-IoT,dc_ssd,dc_ssd,proposed class-balanced domain-contrastive SSD,,,,8.709308510878753,1.2420611381530762,False,False,2.0,1.0,3729.0,0.4251995438996579,3729.0,weights_changed,8770.0,0.2908190534521783,1273.4730224609375,1.4344221353530884,0.0007852541748434305,0.1510983556509018,0.4997501075267792,,,,,,,False,,,True,True,,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-BoT-IoT,scrub_r,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,146.32290776749622,101.120849609375,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,3.0,0.993030303030303,0.9960585529401199,4.0,0.001,0.99,sgd,0.0005,True,True,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,False,"forgotten-domain validation split, never test"
numerical_feature_transformer,42,NF-BoT-IoT,scrub_r@lr=0.001,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,290.0411324730285,201.2413330078125,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,3.0,0.9939393939393939,0.9957192891425607,4.0,0.001,0.99,sgd,0.001,False,False,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,False,"forgotten-domain validation split, never test"
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,rollback_repair,rollback_repair,amnesiac update subtraction plus custom retained repair,1.0,2.0,0.25,60.83057331711012,7.558984756469727,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,10.0,1.0,0.0,0.0,0.0,no_parameters_selected,8770.0,0.9219446548648526,3.116511344909668,1.0888514518737793,1.0,1.0,1.0,True,True,100% pooled train cache plus 100% forgotten train online,0.3128146399194522,3.19626730885009,5309.0,True,1661.0,106255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=1,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,4.23392034156671,0.6832877397537231,False,False,1.0,1.0,4829.0,0.5506271379703535,4829.0,weights_changed,8770.0,0.9219446548648526,3.116511344909668,1.0888514518737793,0.32087162137031555,0.6727534532546997,0.9993644952774048,False,False,100% pooled train cache plus 100% forgotten train online,0.3128146399194522,3.19626730885009,5309.0,False,1661.0,106255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=2,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,2.8672887670521807,0.6832877397537231,False,False,2.0,1.0,893.0,0.10182440136830102,893.0,weights_changed,8770.0,0.9219446548648526,3.116511344909668,1.0888514518737793,0.32087162137031555,0.43363454937934875,0.49997955560684204,False,False,100% pooled train cache plus 100% forgotten train online,0.3128146399194522,3.19626730885009,5309.0,False,1661.0,106255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=3,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.37202936232487266,0.2193240225315094,False,False,3.0,1.0,9.0,0.0010262257696693272,9.0,weights_changed,8770.0,0.9219446548648526,3.116511344909668,1.0888514518737793,0.32087162137031555,0.32882389426231384,0.33317703008651733,False,False,100% pooled train cache plus 100% forgotten train online,0.3128146399194522,3.19626730885009,5309.0,False,1661.0,106255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,ssd_canonical@alpha=5,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,5.0,1.0,0.0,0.0,0.0,no_parameters_selected,8770.0,0.9219446548648526,3.116511344909668,1.0888514518737793,1.0,1.0,1.0,False,False,100% pooled train cache plus 100% forgotten train online,0.3128146399194522,3.19626730885009,5309.0,True,1661.0,106255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,dc_ssd_no_contrast,dc_ssd_no_contrast,DC-SSD ablation: class-balanced Fisher without retained-only contrast,,,,2.5567026484578323,0.7680407166481018,False,False,2.0,1.0,521.0,0.059407069555302165,521.0,weights_changed,8770.0,0.43931960499584516,3.9069550037384033,0.2317327857017517,0.2559538185596466,0.3883208930492401,0.4994947910308838,,,,,,,False,,,True,False,4.0,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,all domains including forgotten,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,dc_ssd_no_class_balance,dc_ssd_no_class_balance,DC-SSD ablation: retained-domain contrast without class balancing,,,,3.4999385388500555,0.9777933359146118,False,False,2.0,1.0,747.0,0.08517673888255416,747.0,weights_changed,8770.0,0.6426667222484317,77.96410369873047,0.2503463327884674,0.012826415710151196,0.2914135754108429,0.4985204041004181,,,,,,,False,,,False,True,,empirical training fractions within domain,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,dc_ssd,dc_ssd,proposed class-balanced domain-contrastive SSD,,,,3.841619509568705,1.0240542888641357,False,False,2.0,1.0,808.0,0.09213226909920183,808.0,weights_changed,8770.0,0.360233430393334,125.96973419189453,0.18448755145072937,0.007938414812088013,0.26492276787757874,0.4995386600494385,,,,,,,False,,,True,True,,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,scrub_r,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,158.60087872093314,110.11087799072266,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,3.0,0.3693189105989995,0.30361865323984755,4.0,0.001,0.99,sgd,0.0005,True,True,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,False,"forgotten-domain validation split, never test"
numerical_feature_transformer,42,NF-CSE-CIC-IDS2018,scrub_r@lr=0.001,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,310.8439989781876,216.0650634765625,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,3.0,0.6971653341314293,0.7673897698931815,4.0,0.001,0.99,sgd,0.001,False,False,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,False,"forgotten-domain validation split, never test"
mlp,1337,NF-UNSW-NB15,rollback_repair,rollback_repair,amnesiac update subtraction plus custom retained repair,1.0,2.0,0.25,10.327652888907377,1.1626235246658325,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,1337,NF-UNSW-NB15,ssd_canonical,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,10.0,1.0,0.0,0.0,0.0,no_parameters_selected,16994.0,0.5104859681911551,3.4683802127838135,0.10395177453756332,1.0,1.0,1.0,True,True,100% pooled train cache plus 100% forgotten train online,0.2836896553754482,3.5252324037184595,5309.0,True,1506.0,96362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,1337,NF-UNSW-NB15,ssd_canonical@alpha=1,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,1.142294258180124,0.14814189076423645,False,False,1.0,1.0,776.0,0.045663175238319406,776.0,weights_changed,16994.0,0.5104859681911551,3.4683802127838135,0.10395177453756332,0.28831902146339417,0.7062020301818848,0.999541163444519,False,False,100% pooled train cache plus 100% forgotten train online,0.2836896553754482,3.5252324037184595,5309.0,False,1506.0,96362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
