architecture,seed,forgotten_domain,method,base_method,original_retained_validation_log_loss,method_retained_validation_log_loss,retrained_retained_validation_log_loss,is_identity_map,is_near_identity,ssd_selection_status,ssd_structural_noop,ssd_batch_ratio_upper_bound,original_retained_macro_f1,method_retained_macro_f1,retrained_retained_macro_f1,original_retained_macro_roc_auc,method_retained_macro_roc_auc,retrained_retained_macro_roc_auc,original_forgotten_f1,method_forgotten_f1,retrained_forgotten_f1,original_forgotten_roc_auc,method_forgotten_roc_auc,retrained_forgotten_roc_auc,original_mia_auc,method_mia_auc,retrained_mia_auc,method_abs_mia_auc_gap_from_retrained,method_forgotten_prediction_agreement_with_retrained,method_forgotten_js_divergence_from_retrained,method_forgotten_linear_cka_to_retrained,method_retained_macro_linear_cka_to_retrained,method_forgotten_abs_f1_gap_from_retrained,online_seconds,full_retraining_optimization_seconds,online_speedup_vs_retraining_optimization,selected_parameter_fraction,fisher_cosine_similarity,parameter_change_l2
mlp,42,NF-UNSW-NB15,rollback_repair,rollback_repair,0.13238130402277276,0.683336122756477,0.1535616351635023,False,False,,,,0.7624766540635614,0.2683806531610236,0.7635205834285116,0.8291335468338991,0.3840077294232002,0.8231769857295514,0.9937733499377335,0.023355869698832205,0.0552395086157144,0.9998552874702499,0.05238912086076479,0.26182185224831406,0.4858873133407028,0.49069789598755964,0.5144855566927022,0.0237876607051426,0.4990944619197407,0.07417428018283644,0.39580950887595723,0.5363322196905086,0.0318836389168822,1.6870845010000721,68.77720737799928,40.76690132428425,,,9.307546887023712
mlp,42,NF-UNSW-NB15,ssd_canonical,ssd_canonical,0.13238130402277276,0.13238130402277276,0.1535616351635023,True,True,no_parameters_selected,True,3.5252324037184595,0.7624766540635614,0.7624766540635614,0.7635205834285116,0.8291335468338991,0.8291335468338991,0.8231769857295514,0.9937733499377335,0.9937733499377335,0.0552395086157144,0.9998552874702499,0.9998552874702499,0.26182185224831406,0.4858873133407028,0.4858873133407028,0.5144855566927022,0.028598243351999453,0.45453245639119244,0.2677273092072476,0.34516413277990854,0.8951953802523582,0.9385338413220191,3.12201043999994,68.77720737799928,22.029781353966452,0.0,0.5845881814760959,0.0
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,ssd_canonical,0.13238130402277276,0.13131818215127924,0.1535616351635023,False,False,weights_changed,False,3.5252324037184595,0.7624766540635614,0.7635232336925277,0.7635205834285116,0.8291335468338991,0.8118863014328633,0.8231769857295514,0.9937733499377335,0.9836580766813325,0.0552395086157144,0.9998552874702499,0.999764818009677,0.26182185224831406,0.4858873133407028,0.4861808163001953,0.5144855566927022,0.028304740392506966,0.4559622533600229,0.2660587097052579,0.36909180511222733,0.9010696219122586,0.9284185680656182,3.3343558230001236,68.77720737799928,20.626834995707274,0.03330587266093916,0.5845881814760959,1.1392916199675494
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,ssd_canonical,0.13238130402277276,0.13250189887854416,0.1535616351635023,False,False,weights_changed,False,3.5252324037184595,0.7624766540635614,0.7626973220600584,0.7635205834285116,0.8291335468338991,0.8259563960367058,0.8231769857295514,0.9937733499377335,0.9887288666249218,0.0552395086157144,0.9998552874702499,0.9998419358251085,0.26182185224831406,0.4858873133407028,0.4861615259498175,0.5144855566927022,0.028324030742884754,0.45519969497664664,0.26692556258781497,0.34013604490970917,0.8946983847502091,0.9334893580092074,3.114757979999922,68.77720737799928,22.08107590368899,0.00788513593032835,0.5845881814760959,0.7400818254907245
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,ssd_canonical,0.13238130402277276,0.13237533850923408,0.1535616351635023,False,False,weights_changed,False,3.5252324037184595,0.7624766540635614,0.7623527443473265,0.7635205834285116,0.8291335468338991,0.8257701446980569,0.8231769857295514,0.9937733499377335,0.9934599813142323,0.0552395086157144,0.9998552874702499,0.9998558987503889,0.26182185224831406,0.4858873133407028,0.4848798780413177,0.5144855566927022,0.029605678651384526,0.4545801162901535,0.2676093546495895,0.3390271664057493,0.8962132025674242,0.9382204726985179,3.113408791000211,68.77720737799928,22.090644690414706,0.0016476403436507003,0.5845881814760959,0.3424080751785941
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,ssd_canonical,0.13238130402277276,0.13238130402277276,0.1535616351635023,True,True,no_parameters_selected,True,3.5252324037184595,0.7624766540635614,0.7624766540635614,0.7635205834285116,0.8291335468338991,0.8291335468338991,0.8231769857295514,0.9937733499377335,0.9937733499377335,0.0552395086157144,0.9998552874702499,0.9998552874702499,0.26182185224831406,0.4858873133407028,0.4858873133407028,0.5144855566927022,0.028598243351999453,0.45453245639119244,0.2677273092072476,0.34516413277990854,0.8951953802523582,0.9385338413220191,3.0300614319999113,68.77720737799928,22.69828811114391,0.0,0.5845881814760959,0.0
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,dc_ssd_no_contrast,0.13238130402277276,0.13053744416870433,0.1535616351635023,False,False,weights_changed,False,,0.7624766540635614,0.7631386288631358,0.7635205834285116,0.8291335468338991,0.828976966108689,0.8231769857295514,0.9937733499377335,0.9871915026554202,0.0552395086157144,0.9998552874702499,0.9995766724174187,0.26182185224831406,0.4858873133407028,0.4930498074396008,0.5144855566927022,0.021435749253101433,0.45553331426937377,0.26449812282710194,0.4407623065456122,0.9121458560994612,0.9319519940397059,0.021003810999900452,68.77720737799928,3274.5108674956773,0.021360480169471577,0.26248792379796865,1.6745046852939858
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,dc_ssd_no_class_balance,0.13238130402277276,0.133613400197437,0.1535616351635023,False,False,weights_changed,False,,0.7624766540635614,0.7627933660255463,0.7635205834285116,0.8291335468338991,0.8359483416515591,0.8231769857295514,0.9937733499377335,0.9791666666666666,0.0552395086157144,0.9998552874702499,0.9997276264391143,0.26182185224831406,0.4858873133407028,0.48594570424728434,0.5144855566927022,0.0285398524454179,0.456343532551711,0.2657129464902048,0.3428634531109722,0.899483619952122,0.9239271580509523,0.018736334999857718,68.77720737799928,3670.7930007934615,0.012592679769330352,0.24695507238440229,1.366430556701079
mlp,42,NF-UNSW-NB15,dc_ssd,dc_ssd,0.13238130402277276,0.13144359188285606,0.1535616351635023,False,False,weights_changed,False,,0.7624766540635614,0.7645536021249236,0.7635205834285116,0.8291335468338991,0.8285715045151459,0.8231769857295514,0.9937733499377335,0.9779596977329975,0.0552395086157144,0.9998552874702499,0.9992205534774892,0.26182185224831406,0.4858873133407028,0.4971213487284217,0.5144855566927022,0.017364207964280565,0.4568201315413211,0.2595825245203928,0.473972136188891,0.9164952506928725,0.9227201891172832,0.01966718900007436,68.77720737799928,3497.053258487486,0.030363657761562905,0.24473313967874336,2.3995464507342663
mlp,42,NF-UNSW-NB15,scrub_r,scrub_r,0.13238130402277276,0.2089054122541369,0.1535616351635023,False,False,,,,0.7624766540635614,0.7550649214853443,0.7635205834285116,0.8291335468338991,0.8027332376395874,0.8231769857295514,0.9937733499377335,0.16323084500105536,0.0552395086157144,0.9998552874702499,0.4973884182103313,0.26182185224831406,0.4858873133407028,0.5144263005981249,0.5144855566927022,5.925609457735348e-05,0.5462777618911447,0.2096832322243812,0.3172222669790562,0.591680606635823,0.10799133638534096,54.44030530200007,68.77720737799928,1.2633508757246532,,,143.42257501902915
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.001,scrub_r,0.13238130402277276,0.23972114632354252,0.1535616351635023,False,False,,,,0.7624766540635614,0.7330528928057753,0.7635205834285116,0.8291335468338991,0.7986982902805693,0.8231769857295514,0.9937733499377335,0.1316272732658018,0.0552395086157144,0.9998552874702499,0.36292036448253917,0.26182185224831406,0.4858873133407028,0.5143636023178305,0.5144855566927022,0.00012195437487172445,0.5896482699456678,0.1548875956373484,0.25465884557560464,0.8216789569391617,0.07638776465008738,54.52086545899988,68.77720737799928,1.2614841455464474,,,283.49723082610706
mlp,42,NF-ToN-IoT,rollback_repair,rollback_repair,0.0856464302797391,2.497442416716001,0.17822581474774482,False,False,,,,0.8683515734604783,0.0,0.8758548090021264,0.9168649034028912,0.8840402751228856,0.8838824924340091,0.6761485917469823,0.0,0.16889248617293942,0.7366612177632731,0.5635532650504465,0.6755119334851238,0.7812625208364316,0.5540699327670975,0.509675548174597,0.04439438459250045,0.8950263580105432,0.07406158943601475,0.21659680516762037,0.3108058896181976,0.16889248617293942,2.175591913999824,87.41104161499993,40.178050420446176,,,36.61323426240677
mlp,42,NF-ToN-IoT,ssd_canonical,ssd_canonical,0.0856464302797391,0.0856464302797391,0.17822581474774482,True,True,no_parameters_selected,True,9.21701388888889,0.8683515734604783,0.8683515734604783,0.8758548090021264,0.9168649034028912,0.9168649034028912,0.8838824924340091,0.6761485917469823,0.6761485917469823,0.16889248617293942,0.7366612177632731,0.7366612177632731,0.6755119334851238,0.7812625208364316,0.7812625208364316,0.509675548174597,0.2715869726618345,0.568416227366491,0.09963008833194616,0.7574255437496974,0.8747405066078718,0.5072561055740429,1.2090616190000674,87.41104161499993,72.29659782542072,0.0,0.9791009644861419,0.0
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=1,ssd_canonical,0.0856464302797391,0.6475503693347723,0.17822581474774482,False,False,weights_changed,False,9.21701388888889,0.8683515734604783,0.38755250414103126,0.8758548090021264,0.9168649034028912,0.45867743968828684,0.8838824924340091,0.6761485917469823,0.7348125986869443,0.16889248617293942,0.7366612177632731,0.6546665117136923,0.6755119334851238,0.7812625208364316,0.4308197570058767,0.509675548174597,0.07885579116872032,0.37497134998854,0.11408942696687126,0.23281506065769297,0.4522881801745478,0.5659201125140049,1.2394911579999643,87.41104161499993,70.52171453650857,0.981169824643992,0.9791009644861419,16.21974943111657
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=2,ssd_canonical,0.0856464302797391,0.5566344812950886,0.17822581474774482,False,False,weights_changed,False,9.21701388888889,0.8683515734604783,0.2825793445029193,0.8758548090021264,0.9168649034028912,0.44389343106622975,0.8838824924340091,0.6761485917469823,0.22960873298172452,0.16889248617293942,0.7366612177632731,0.5009257473494513,0.6755119334851238,0.7812625208364316,0.46523142169880294,0.509675548174597,0.0444441264757941,0.7834059133623653,0.05190379628729298,0.1219350517182957,0.3693382833267255,0.060716246808785096,1.238933422999935,87.41104161499993,70.55346154383675,0.925797340237731,0.9791009644861419,16.131291087996484
