architecture,seed,forgotten_domain,model,mia_loss_auc,mia_advantage,mia_tpr_at_fixed_fpr,member_nonmember_loss_gap,fixed_fpr,member_mean_loss,nonmember_mean_loss,samples_per_membership_group,benign_samples_per_group,attack_samples_per_group,bootstrap_repetitions,confidence_level,mia_loss_auc_ci_lower,mia_loss_auc_ci_upper,mia_advantage_ci_lower,mia_advantage_ci_upper,mia_tpr_at_fixed_fpr_ci_lower,mia_tpr_at_fixed_fpr_ci_upper,member_nonmember_loss_gap_ci_lower,member_nonmember_loss_gap_ci_upper,mia_bootstrap_unit,mia_bootstrap_status,mia_bootstrap_valid_repetitions,mia_bootstrap_invalid_class_coverage_repetitions,mia_bootstrap_member_groups,mia_bootstrap_nonmember_groups,mia_learned_auc,mia_learned_advantage,mia_learned_tpr_at_fixed_fpr,mia_learned_attack_train_rows,mia_learned_attack_test_rows,mia_learned_split_unit,mia_learned_status,mia_learned_attack_train_groups,mia_learned_attack_test_groups,mia_learned_group_overlap,mia_auc_gap_to_retrained,mia_auc_gap_to_retrained_ci_lower,mia_auc_gap_to_retrained_ci_upper,mia_gap_bootstrap_unit,mia_gap_bootstrap_status,mia_gap_bootstrap_valid_repetitions,mia_gap_bootstrap_invalid_class_coverage_repetitions,mia_gap_bootstrap_member_groups,mia_gap_bootstrap_nonmember_groups
mlp,42,NF-UNSW-NB15,original,0.4858873133407028,0.0020682523267838704,0.010255084453636676,-0.0009196647442877293,0.01,0.005059223622083664,0.004139558877795935,11604.0,10000.0,1604.0,1000,0.95,0.4777236021529873,0.49386537457173285,0.0006597208784803292,0.021198445702348113,0.006825673931742549,0.012171622371551978,-0.004614301697847403,0.005477303488723121,conversation_group,ok,1000,0,254,29,0.5100321452529047,0.031637363254979414,0.010837286036557588,9845,13363,conversation_group,ok,141,142,0,-0.028598243351999453,-0.04399618786992357,-0.016123850560918283,conversation_group,ok,1000.0,0.0,254.0,29.0
mlp,42,NF-UNSW-NB15,rollback_repair,0.49069789598755964,0.020079283005860038,0.010427438814202,-0.00335848331451416,0.01,0.5725420713424683,0.5691835880279541,11604.0,10000.0,1604.0,1000,0.95,0.48146881338035474,0.4977567287960105,0.00916939284838203,0.03071998581691802,0.008415335070871591,0.012582443128003596,-0.006415143508834655,-0.0011001350602098754,conversation_group,ok,1000,0,254,29,0.5117458679860369,0.04265679176916495,0.025008908661751605,9845,13363,conversation_group,ok,141,142,0,-0.0237876607051426,-0.03810908055584846,-0.01232633396688604,conversation_group,ok,1000.0,0.0,254.0,29.0
mlp,42,NF-UNSW-NB15,ssd_canonical,0.4858873133407028,0.0020682523267838704,0.010255084453636676,-0.0009196647442877293,0.01,0.005059223622083664,0.004139558877795935,11604.0,10000.0,1604.0,1000,0.95,0.4777236021529873,0.49386537457173285,0.0006597208784803292,0.021198445702348113,0.006825673931742549,0.012171622371551978,-0.004614301697847403,0.005477303488723121,conversation_group,ok,1000,0,254,29,0.5100321452529047,0.031637363254979414,0.010837286036557588,9845,13363,conversation_group,ok,141,142,0,-0.028598243351999453,-0.04399618786992357,-0.016123850560918283,conversation_group,ok,1000.0,0.0,254.0,29.0
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,0.4861808163001953,0.0026714925887625363,0.009393312650810065,-0.0008062049746513367,0.01,0.014391520991921425,0.013585316017270088,11604.0,10000.0,1604.0,1000,0.95,0.47825313781582734,0.4936018339161149,0.0006437083241072673,0.018171772264035595,0.007386675527359283,0.011469041277952747,-0.006721106361258817,0.006520047546264653,conversation_group,ok,1000,0,254,29,0.5107622763012594,0.03011032758063739,0.010506208608688943,9845,13363,conversation_group,ok,141,142,0,-0.028304740392506966,-0.042972420597651044,-0.016424192924751575,conversation_group,ok,1000.0,0.0,254.0,29.0
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,0.4861615259498175,0.0014650120648053155,0.008100654946570147,-0.0004993323236703873,0.01,0.008451523259282112,0.007952190935611725,11604.0,10000.0,1604.0,1000,0.95,0.4780696774903104,0.4946341904859213,0.00042456661205138025,0.018985200592451644,0.006286657736123609,0.01110040997562059,-0.004633301182820233,0.005932967220951499,conversation_group,ok,1000,0,254,29,0.5104050747552549,0.035516152580048754,0.010216275644028763,9845,13363,conversation_group,ok,141,142,0,-0.028324030742884754,-0.04346204391411778,-0.014876467927619853,conversation_group,ok,1000.0,0.0,254.0,29.0
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,0.4848798780413177,0.0024129610479144414,0.00904860392967942,-0.0009172013960778713,0.01,0.005310497712343931,0.00439329631626606,11604.0,10000.0,1604.0,1000,0.95,0.4767959251188379,0.49279485680696083,0.0007974585377516946,0.020317899095937474,0.006648180056746458,0.01300785655910604,-0.004568424383961757,0.005383387610643561,conversation_group,ok,1000,0,254,29,0.5111446366991235,0.033605192071886,0.01006935160781644,9845,13363,conversation_group,ok,141,142,0,-0.029605678651384526,-0.04483110870035101,-0.01689332265892798,conversation_group,ok,1000.0,0.0,254.0,29.0
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,0.4858873133407028,0.0020682523267838704,0.010255084453636676,-0.0009196647442877293,0.01,0.005059223622083664,0.004139558877795935,11604.0,10000.0,1604.0,1000,0.95,0.4777236021529873,0.49386537457173285,0.0006597208784803292,0.021198445702348113,0.006825673931742549,0.012171622371551978,-0.004614301697847403,0.005477303488723121,conversation_group,ok,1000,0,254,29,0.5100321452529047,0.031637363254979414,0.010837286036557588,9845,13363,conversation_group,ok,141,142,0,-0.028598243351999453,-0.04399618786992357,-0.016123850560918283,conversation_group,ok,1000.0,0.0,254.0,29.0
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,0.4930498074396008,0.004825922095828994,0.010082730093071354,-0.0011912081390619278,0.01,0.010249060578644276,0.009057852439582348,11604.0,10000.0,1604.0,1000,0.95,0.4835538805936339,0.5044210453676561,0.0013706697134942697,0.02888805441758143,0.0075023666655811925,0.012407611571548065,-0.005750740781845068,0.005674532946054795,conversation_group,ok,1000,0,254,29,0.5039874563484102,0.022301852756282936,0.01193238278540288,9845,13363,conversation_group,ok,141,142,0,-0.021435749253101433,-0.03621195788630453,-0.006730626367327305,conversation_group,ok,1000.0,0.0,254.0,29.0
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,0.48594570424728434,0.002585315408479838,0.009134781109962083,-0.0019642729312181473,0.01,0.01871228776872158,0.016748014837503433,11604.0,10000.0,1604.0,1000,0.95,0.4768762799529527,0.4951396660536928,0.001045188951157071,0.018420678238767953,0.007219907628393038,0.012664874368894213,-0.007967225604996362,0.004904012118526902,conversation_group,ok,1000,0,254,29,0.510946332406764,0.034292548113667304,0.010939150501796946,9845,13363,conversation_group,ok,141,142,0,-0.0285398524454179,-0.044139975985135436,-0.015369650570439446,conversation_group,ok,1000.0,0.0,254.0,29.0
mlp,42,NF-UNSW-NB15,dc_ssd,0.4971213487284217,0.006894174422612975,0.008703895208548777,-0.0019940920174121857,0.01,0.018761733546853065,0.01676764152944088,11604.0,10000.0,1604.0,1000,0.95,0.48796927694554154,0.5092255159090822,0.0019436996265767175,0.032341275635169336,0.006384738819568802,0.011654290809979382,-0.00755746797476084,0.005348422873003742,conversation_group,ok,1000,0,254,29,0.5017422854130007,0.01977059081322008,0.012214485534533954,9845,13363,conversation_group,ok,141,142,0,-0.017364207964280565,-0.030906532924818153,-0.002979606941900445,conversation_group,ok,1000.0,0.0,254.0,29.0
