architecture,seed,forgotten_domain,method,device,parameter_count,checkpoint_bytes,original_training_optimizer_steps,original_training_samples_seen,online_optimizer_steps,online_gradient_sample_exposures,online_unique_forget_samples,online_unique_retain_samples,online_selection_inference_samples,online_temporary_storage_bytes,online_seconds,online_optimization_seconds,full_retraining_optimizer_steps,full_retraining_samples_seen,full_retraining_optimization_seconds,full_retraining_validation_seconds,offline_preparation_seconds,offline_preparation_samples,offline_preparation_batches,offline_preparation_storage_bytes,offline_preparation_kind,offline_preparation_wall_seconds,offline_preparation_rss_start_bytes,offline_preparation_rss_peak_bytes,offline_preparation_rss_peak_increment_bytes,offline_preparation_accelerator_start_bytes,offline_preparation_accelerator_peak_bytes,offline_preparation_accelerator_peak_increment_bytes,offline_preparation_accelerator_memory_status,original_training_wall_seconds,original_training_rss_start_bytes,original_training_rss_peak_bytes,original_training_rss_peak_increment_bytes,original_training_accelerator_start_bytes,original_training_accelerator_peak_bytes,original_training_accelerator_peak_increment_bytes,original_training_accelerator_memory_status,online_unlearning_wall_seconds,online_unlearning_rss_start_bytes,online_unlearning_rss_peak_bytes,online_unlearning_rss_peak_increment_bytes,online_unlearning_accelerator_start_bytes,online_unlearning_accelerator_peak_bytes,online_unlearning_accelerator_peak_increment_bytes,online_unlearning_accelerator_memory_status,full_retraining_wall_seconds,full_retraining_rss_start_bytes,full_retraining_rss_peak_bytes,full_retraining_rss_peak_increment_bytes,full_retraining_accelerator_start_bytes,full_retraining_accelerator_peak_bytes,full_retraining_accelerator_peak_increment_bytes,full_retraining_accelerator_memory_status,online_speedup_vs_retraining_optimization,monitor_scope_speedup_vs_retraining,gradient_exposure_reduction_fraction
mlp,42,NF-UNSW-NB15,scrub_r@lr=0.001,cuda,16994,67976,26580,6793480,11730,922660,96362,243312,310061,271904,54.52086545899988,54.16309251100006,19040,4866240,68.77720737799928,0.15802759000007427,0.0,0,0,0,none,,,,,,,,not_measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,54.5265034749998,2188079104,2188083200,4096,18087936,19027968,940032,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,1.2614841455464474,1.2643471810843117,0.810395705924903
mlp,42,NF-ToN-IoT,rollback_repair,cuda,16994,67976,26580,6793480,594,151418,0,132702,0,271904,2.175591913999824,2.173445539999875,23700,6056680,87.41104161499993,0.18451953799990406,,0,0,271904,domain update trace; incremental tracing time not separately measured,,,,,,,,not_measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,2.215183711999998,2313732096,2316148736,2416640,18087936,18989568,901632,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,40.178050420446176,39.54561176730072,0.9749998348930438
mlp,42,NF-ToN-IoT,ssd_canonical,cuda,16994,67976,26580,6793480,0,36840,36840,0,0,67976,1.2090616190000674,0.0,23700,6056680,87.41104161499993,0.18451953799990406,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,1.2115589580000687,2315321344,2315325440,4096,18087936,18454528,366592,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,72.29659782542072,72.30419492964953,0.9939174597304133
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=1,cuda,16994,67976,26580,6793480,0,36840,36840,0,0,67976,1.2394911579999643,0.0,23700,6056680,87.41104161499993,0.18451953799990406,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,1.2420054159999836,2315321344,2315440128,118784,18087936,18728960,641024,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,70.52171453650857,70.53173354922083,0.9939174597304133
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=2,cuda,16994,67976,26580,6793480,0,36840,36840,0,0,67976,1.238933422999935,0.0,23700,6056680,87.41104161499993,0.18451953799990406,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,1.2414143070000137,2315436032,2315444224,8192,18087936,18704896,616960,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,70.55346154383675,70.56531777831287,0.9939174597304133
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=3,cuda,16994,67976,26580,6793480,0,36840,36840,0,0,67976,1.2366051840001546,0.0,23700,6056680,87.41104161499993,0.18451953799990406,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,1.2390772700000525,2315440128,2315444224,4096,18087936,18668032,580096,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,70.68629724828082,70.69841178508287,0.9939174597304133
mlp,42,NF-ToN-IoT,ssd_canonical@alpha=5,cuda,16994,67976,26580,6793480,0,36840,36840,0,0,67976,1.2377504250000584,0.0,23700,6056680,87.41104161499993,0.18451953799990406,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,1.2402565649999815,2315440128,2315444224,4096,18087936,18541568,453632,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,70.62089404250926,70.63118836867542,0.9939174597304133
mlp,42,NF-ToN-IoT,dc_ssd_no_contrast,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.02665886199997658,0.0,23700,6056680,87.41104161499993,0.18451953799990406,10.588147320999951,339674,5310,271904,class-balanced per-domain Fisher bank,10.588261701999954,1919496192.0,1920442368.0,946176.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,0.029188179999891872,2315440128,2315444224,4096,18087936,18514944,427008,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,3278.8737049269666,3001.2421147301593,1.0
mlp,42,NF-ToN-IoT,dc_ssd_no_class_balance,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.02604132699980255,0.0,23700,6056680,87.41104161499993,0.18451953799990406,10.681567900000118,339674,5310,271904,empirical-weighted class-conditional per-domain Fisher bank,10.681682185,1920438272.0,1920499712.0,61440.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,0.028534903000036138,2315440128,2315444224,4096,18087936,18712064,624128,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,3356.627779208897,3069.9524392246603,1.0
mlp,42,NF-ToN-IoT,dc_ssd,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.025861690000056115,0.0,23700,6056680,87.41104161499993,0.18451953799990406,10.588147320999951,339674,5310,271904,class-balanced per-domain Fisher bank,10.588261701999954,1919496192.0,1920442368.0,946176.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,0.028364751000026445,2315440128,2315444224,4096,18087936,18555392,467456,measured,87.60079506800002,2315448320,2315464704,16384,18087936,18991616,903680,measured,3379.9431365394244,3088.36820277105,1.0
